81,7068.36,1.0328,0.56851,0.00611,0.6465,0.59915,0.59667,0.31534,2.05447,1.74547,0.02642,0.000148512,0.000148512,0.000148512
82,7151.62,1.01514,0.55233,0.00614,0.65616,0.59764,0.5976,0.31647,2.10061,1.78714,0.02727,0.000141443,0.000141443,0.000141443
83,7237.62,1.01456,0.55958,0.00617,0.69116,0.60112,0.61517,0.32651,2.06319,1.75475,0.02677,0.000134375,0.000134375,0.000134375
84,7323.14,1.00926,0.5552,0.00603,0.63847,0.62864,0.61669,0.32763,2.04664,1.79476,0.02669,0.000127306,0.000127306,0.000127306
85,7407.66,1.00891,0.5604,0.00599,0.65693,0.6007,0.61202,0.32767,2.05798,1.80624,0.02748,0.000120238,0.000120238,0.000120238
86,7490.21,1.00747,0.54597,0.00609,0.62239,0.60309,0.60461,0.31958,2.04561,1.85718,0.02721,0.000113169,0.000113169,0.000113169
87,7574.68,0.99487,0.54556,0.00591,0.64451,0.61888,0.61755,0.32222,2.08128,1.81244,0.02817,0.0001061,0.0001061,0.0001061
88,7663.09,0.99103,0.54783,0.00595,0.6352,0.59981,0.60338,0.31124,2.1136,1.81893,0.02874,9.90318e-05,9.90318e-05,9.90318e-05
89,7748,0.98944,0.53412,0.00588,0.62942,0.62584,0.60336,0.30788,2.11388,1.84059,0.02877,9.19632e-05,9.19632e-05,9.19632e-05
90,7835.82,0.98564,0.53878,0.00589,0.67024,0.57998,0.59825,0.31228,2.11745,1.78897,0.02875,8.48946e-05,8.48946e-05,8.48946e-05
91,7924.75,0.96362,0.47821,0.00716,0.67287,0.58673,0.60899,0.32573,2.02704,1.81844,0.0259,7.7826e-05,7.7826e-05,7.7826e-05
92,8007.4,0.91886,0.44191,0.00658,0.68977,0.61093,0.62041,0.33298,1.97367,1.76675,0.02485,7.07574e-05,7.07574e-05,7.07574e-05
93,8089.77,0.90686,0.4279,0.00644,0.71303,0.60922,0.62271,0.33277,1.97467,1.75786,0.0249,6.36888e-05,6.36888e-05,6.36888e-05
94,8171.24,0.89146,0.42833,0.00621,0.73897,0.59527,0.63156,0.3316,1.97578,1.76701,0.02518,5.66202e-05,5.66202e-05,5.66202e-05
95,8252.48,0.88796,0.42849,0.00626,0.71602,0.60189,0.635,0.33498,1.99156,1.76188,0.02555,4.95516e-05,4.95516e-05,4.95516e-05
96,8334.71,0.87586,0.42268,0.00609,0.70426,0.61792,0.63017,0.32885,2.0297,1.72616,0.02625,4.2483e-05,4.2483e-05,4.2483e-05
97,8418.39,0.86782,0.41675,0.00611,0.71301,0.60802,0.62956,0.3325,2.02725,1.73105,0.02623,3.54144e-05,3.54144e-05,3.54144e-05
98,8499.41,0.87214,0.41676,0.00603,0.70961,0.60678,0.62565,0.32949,2.01834,1.74729,0.02583,2.83458e-05,2.83458e-05,2.83458e-05
99,8582.45,0.86696,0.40996,0.00604,0.68804,0.61145,0.62082,0.32759,2.01492,1.77388,0.02572,2.12772e-05,2.12772e-05,2.12772e-05
100,8663.52,0.86058,0.41113,0.00598,0.69874,0.61512,0.6298,0.32997,2.00617,1.77758,0.02552,1.42086e-05,1.42086e-05,1.42086e-05
